item,asin,groupA_buyers,groupB_buyers,total_buyers
24782,B004D1GZ2E,0,54,54
22114,B002ALTAN0,0,53,53
20345,B001BCCPYK,0,49,49
21986,B001VPJZ40,0,48,48
22279,B002HQWQB6,0,43,43
22128,B001QITO1Q,0,42,42
22600,B0026P3G12,0,38,38
19973,B0017OLUUC,0,38,38
5532,B000000IRB,0,38,38
20203,B001D0T4HG,0,36,36
19743,B0017I1FRQ,0,36,36
20190,B001ATO9EI,0,36,36
20206,B001DFHU22,0,34,34
19976,B0017LU074,0,32,32
4370,B00004ZAV3,0,31,31
21222,B00190KZ4G,0,30,30
21663,B0023GAJ14,1,29,30
22129,B0019FAM62,0,30,30
17533,B000ELIV4C,0,30,30
6747,B00005YW4H,0,30,30
4583,B000002UB2,0,29,29
16419,B000N2G3RY,0,28,28
25186,B004K4AUZW,0,28,28
21687,B001G93Z5Q,0,28,28
4308,B0000025BA,1,27,28
22005,B0025X4OWA,0,28,28
22017,B0027BOL0A,0,28,28
21521,B001MDH5ES,0,27,27
22144,B002EZLQ0M,0,27,27
21700,B001SMC91M,0,27,27
21365,B001BM67QW,0,27,27
4352,B000001DZO,0,26,26
3570,B000002ADT,0,26,26
23470,B003CIG7AE,0,26,26
19965,B0013KJAQ6,0,25,25
21702,B001PCJFXK,0,25,25
11133,B0002XVSRE,0,25,25
22132,B002DKGWUM,0,25,25
4038,B00002MZ41,0,24,24
20193,B001BT1SKK,1,23,24
3102,B000002UAT,1,23,24
21511,B001L2I27O,0,24,24
14547,B000F7MG4G,0,24,24
21358,B000UZ4P5Q,1,23,24
19327,B0010VD7EO,0,23,23
18685,B000VALY4A,0,23,23
13418,B000B8QEZG,0,23,23
22135,B002BE7JFW,0,23,23
21892,B001VLBDEY,0,23,23
21842,B001Q8FSAC,0,23,23
4740,0790729350,0,22,22
19341,B0013FYT9Y,0,22,22
20210,B0016LT2LU,0,21,21
21992,B0020H46LK,0,21,21
21748,B001UDY250,0,21,21
18628,B00113R1I4,0,21,21
4466,B000000IUK,0,21,21
21718,B001QCJNNQ,0,21,21
17984,B000UMQDHC,1,20,21
22620,B002LHKJYW,0,21,21
21987,B001VRDRJM,0,21,21
19537,B0015I2P0Y,0,21,21
6208,B000000XB8,0,21,21
9410,B0000CD5FR,0,20,20
3116,B000000XDJ,1,19,20
11182,B00064ADRK,1,19,20
25965,B005H0IW6W,0,20,20
9718,B00018D44U,0,20,20
21722,B001UJIMTG,0,20,20
12208,B0007GAEGC,0,20,20
21738,B001UJIMT6,0,20,20
17836,B000V8I2QU,0,19,19
6982,0788806270,0,19,19
4894,B00004XQ83,0,19,19
21701,B001UJIMUU,0,19,19
22506,B002L430KK,0,19,19
21995,B0026IZR7K,0,19,19
3536,B00000254C,0,19,19
20680,B001GJ2ZP2,0,19,19
15633,B000JBXLOM,0,19,19
18664,B000VPNK4W,0,19,19
8298,B000089RVX,0,19,19
6204,B00005RGNI,0,18,18
11511,B00070Q7VO,0,18,18
21252,B001O0EQ5U,1,17,18
5124,B000002J09,0,18,18
6348,078881172X,0,18,18
3140,B000003S09,0,18,18
20294,B00192KCQ0,0,18,18
12204,B00092ZMDY,0,17,17
28489,B00A9T1HUO,0,17,17
7745,B00006RAKP,0,17,17
19510,B0013L5M08,0,17,17
22612,B002M27QQK,0,17,17
4297,B000002NHN,0,17,17
4386,B000050XEI,0,17,17
2855,B000002UAX,1,16,17
5541,B000006AKD,1,16,17
3568,B00000016W,0,17,17
2825,B000002LK1,0,16,16
3857,B000000IVW,0,16,16
20009,B0019FE6UK,0,16,16
18613,B00110K5YO,0,16,16
21925,B002A4Q61Q,0,16,16
5590,B0000026NF,0,16,16
14400,B000EXZ9P4,0,16,16
12847,B0006FMBWY,0,16,16
8934,B000002AGN,0,16,16
9546,B000000IRG,0,16,16
7564,B00006IR69,0,16,16
24361,B0037KMHRY,0,16,16
4607,B000002GVS,0,16,16
21705,B001V7UXB2,0,16,16
3931,B000001DTM,0,16,16
17881,B000V6Z0XA,0,15,15
21708,B001GN3ZJS,0,15,15
17050,B000P0J024,0,15,15
21713,B001TIQTI4,0,15,15
21709,B001NH4COE,0,15,15
22303,B001PB3RU8,0,15,15
9147,B0000AGWEC,0,15,15
23595,B00387F6ZG,0,15,15
18633,B000Z5LL8A,0,15,15
11892,B0007GAERG,0,15,15
28053,B009IRVSVQ,0,15,15
20774,B001GO09MI,0,15,15
15226,B000H0MKGK,0,15,15
17983,B000VI70V8,0,15,15
9289,B0000CFW87,0,15,15
3285,B0000027RL,0,15,15
3200,B00000D9TQ,0,15,15
19509,B0012OVF2U,0,15,15
17393,B000SKO0OY,0,15,15
21356,B001AI93YA,0,15,15
27533,B008NW67E0,0,15,15
11968,B0007WF1WS,0,15,15
15656,B000HBKCDC,0,15,15
3100,B000002UAR,0,15,15
16133,B000KCHZK6,0,15,15
10716,B0002F7I9Y,0,15,15
7380,B000069AUI,0,15,15
20569,B001DD63UO,0,15,15
