user_index,source_count,target_count
671,5,8
1996,5,5
1913,5,11
2569,5,5
1528,5,11
2505,5,7
1484,5,7
716,5,7
2054,5,11
1060,5,7
2251,5,7
641,5,5
2349,5,11
2723,5,5
761,5,11
538,5,7
2225,5,19
9,5,19
1352,5,20
2400,5,5
2268,5,7
840,5,10
2555,5,7
1314,5,7
1931,5,5
2128,5,7
2608,5,5
1829,5,5
321,5,20
2546,5,5
1608,5,5
1582,5,5
2628,5,7
1471,5,11
1818,5,5
2427,5,20
1628,5,20
984,5,11
1267,5,19
1136,5,5
2484,5,18
1756,5,11
806,5,6
1604,5,11
2629,5,11
421,5,6
1998,5,18
263,5,6
1828,5,5
1213,5,18
899,5,5
773,5,11
2722,5,5
1699,5,5
2708,5,11
980,5,11
1497,5,18
2395,5,7
2434,5,5
1435,5,5
2681,5,11
2673,5,7
1240,5,11
2318,5,11
2232,5,11
886,5,11
1481,5,7
2623,5,11
2770,5,5
938,5,18
1885,5,18
2304,5,7
1048,5,18
2208,5,7
1388,5,7
2040,5,11
331,5,11
911,5,10
1922,5,5
1729,5,7
1394,5,5
254,5,7
2579,5,5
1297,5,5
2625,5,5
2389,5,5
1560,5,7
2438,5,23
2692,5,7
526,5,10
1963,5,22
2204,5,10
2642,5,10
715,5,7
556,5,7
1078,5,5
967,5,23
211,5,10
2089,5,23
2127,5,7
1648,5,24
2064,5,7
2230,5,7
2037,5,10
878,5,10
1355,5,24
2399,5,23
2739,5,5
398,5,10
2647,5,5
1317,5,7
1849,5,5
2125,5,5
2750,5,7
2419,5,7
2330,5,7
694,5,5
1644,5,5
1879,5,22
897,5,22
1667,5,7
2670,5,21
2162,5,10
2685,5,10
2045,5,10
304,5,21
2763,5,10
2766,5,5
1430,5,7
1149,5,21
2558,5,10
1639,5,7
1083,5,21
2279,5,5
1212,5,7
1958,5,7
1086,5,5
108,5,10
1708,5,21
2002,5,21
1841,5,5
1423,5,6
2702,5,10
1549,5,22
748,5,22
1624,5,5
1867,5,10
2175,5,21
168,5,10
1719,5,22
1299,5,5
1757,5,5
1511,5,5
1599,5,5
2311,5,10
818,5,5
2223,5,5
1892,5,18
2649,5,6
925,5,11
866,5,15
2473,5,6
1641,5,13
1077,5,15
477,5,6
1762,5,15
2514,5,13
1134,5,15
2103,5,6
2760,5,6
1564,5,13
135,5,15
2551,5,6
1426,5,6
2801,5,6
395,5,15
854,5,15
1201,5,6
2604,5,13
700,5,15
2313,5,12
2564,5,12
220,5,6
1410,5,6
742,5,6
1779,5,6
1942,5,15
2747,5,6
2218,5,12
1292,5,15
706,5,12
865,5,15
431,5,6
1954,5,6
455,5,12
419,5,12
1812,5,15
1236,5,12
1206,5,6
801,5,6
2751,5,6
1938,5,6
170,5,13
2533,5,13
1038,5,13
1939,5,6
1874,5,14
2298,5,6
2117,5,14
1770,5,14
1971,5,14
767,5,14
732,5,6
1156,5,6
1242,5,6
101,5,6
2678,5,6
1071,5,6
469,5,6
1515,5,13
2269,5,6
1796,5,6
705,5,6
1794,5,13
2123,5,6
1666,5,14
602,5,6
1361,5,14
1266,5,13
870,5,14
859,5,13
579,5,14
2528,5,6
744,5,6
1397,5,6
2424,5,6
369,5,14
34,5,24
1380,5,16
2754,5,16
2301,5,5
2537,5,11
2158,5,6
1594,5,6
2522,5,6
2717,5,6
2463,5,5
2130,5,6
2578,5,5
1058,5,12
857,5,17
1001,5,12
1311,5,12
2658,5,6
1463,5,5
2308,5,12
828,5,12
479,5,12
1294,5,6
1970,5,17
1838,5,17
2228,5,5
2033,5,11
2244,5,17
1220,5,11
2222,5,6
2586,5,11
2488,5,11
824,5,11
2051,5,17
488,5,11
2144,5,5
692,5,6
2689,5,5
2495,5,17
2133,5,17
1773,5,6
2615,5,12
1950,5,16
1909,5,12
1527,5,16
1248,5,6
2216,5,12
2519,5,6
2249,5,6
1990,5,6
2610,5,12
1570,5,16
889,5,16
712,5,6
2210,5,6
1432,5,6
1054,5,16
2213,5,16
895,5,16
1696,5,6
1877,5,6
2164,5,5
990,5,12
1652,5,12
2074,5,6
1572,5,12
1888,5,6
2161,5,12
2211,5,12
1460,5,12
1916,5,12
2383,5,6
2738,5,6
664,5,6
1259,5,6
490,5,6
799,5,12
2242,5,12
2061,5,6
362,5,12
2668,5,6
2515,5,5
1589,5,6
504,5,10
2532,5,7
1717,5,38
1239,5,5
1517,5,9
87,5,5
2111,5,5
1343,5,9
2633,5,9
2264,5,5
2769,5,7
838,5,36
1223,5,35
1548,5,9
1866,5,35
2307,5,5
2072,5,5
2252,5,9
1421,5,38
2293,5,5
1588,5,42
523,5,8
2026,5,5
2487,5,41
965,5,5
2377,5,8
600,5,8
2732,5,5
1977,5,8
896,5,8
1503,5,8
1635,5,7
2331,5,8
436,5,5
553,5,7
1265,5,5
575,5,42
1933,5,7
1889,5,9
1458,5,7
1029,5,32
2200,5,7
1004,5,7
1144,5,31
966,5,9
2428,5,9
2094,5,9
800,5,9
1941,5,9
942,5,31
1521,5,9
1396,5,31
771,5,7
1152,5,30
558,5,9
2077,5,9
2214,5,5
941,5,33
2439,5,7
103,5,34
1182,5,5
1516,5,34
626,5,9
2420,5,9
948,5,7
2286,5,7
2070,5,9
1745,5,33
510,5,9
1209,5,33
1571,5,9
2267,5,7
2190,5,7
2613,5,32
1400,5,8
1786,5,5
914,5,5
2531,5,5
2042,5,8
1825,5,78
570,5,8
1225,5,76
2666,5,8
1324,5,75
2719,5,8
1428,5,8
1190,5,5
1823,5,8
2157,5,8
1326,5,63
1748,5,8
1618,5,8
2120,5,8
678,5,8
779,5,8
2462,5,8
2177,5,8
447,5,8
629,5,8
50,5,136
2454,5,5
1857,5,8
2445,5,8
1814,5,8
972,5,8
625,5,5
769,5,5
790,5,98
2584,5,8
2694,5,8
1193,5,93
1869,5,8
2065,5,59
2482,5,58
1402,5,8
1744,5,5
2265,5,48
1382,5,5
1610,5,8
2059,5,8
2385,5,5
1807,5,8
1221,5,45
813,5,8
1162,5,45
1721,5,8
592,5,5
597,5,8
1368,5,8
2029,5,8
276,5,5
358,5,49
2677,5,5
1585,5,8
690,5,8
336,5,5
923,5,57
442,5,8
1051,5,5
1753,5,56
1793,5,8
2500,5,7
841,5,8
1897,5,8
2171,5,5
2124,5,8
2235,5,5
2261,5,8
119,5,52
2295,5,5
1520,5,5
183,5,9
1295,5,5
1850,5,9
2411,5,27
2762,5,5
1735,5,5
348,5,5
1010,5,7
1427,5,28
1383,5,9
821,5,5
1387,5,9
1551,5,5
2240,5,9
377,5,9
464,5,26
2091,5,9
1535,5,7
1111,5,10
1580,5,10
2203,5,9
1061,5,10
2600,5,5
1405,5,5
2767,5,7
1819,5,5
1815,5,5
1606,5,27
2019,5,5
1444,5,5
221,5,5
132,5,9
2494,5,25
675,5,9
1108,5,5
1810,5,7
2300,5,7
1947,5,7
860,5,9
1709,5,7
2446,5,5
2370,5,5
214,5,9
1469,5,25
2344,5,25
2795,5,7
684,5,9
2055,5,7
2701,5,5
59,5,5
1747,5,5
2607,5,7
910,5,5
2285,5,10
1915,5,30
258,5,9
837,5,7
1321,5,10
1715,5,5
1125,5,9
245,5,5
1649,5,7
2188,5,10
2776,5,5
891,5,5
1851,5,7
1898,5,9
1024,5,7
2248,5,7
1227,5,29
632,5,24
928,5,29
554,5,7
2779,5,5
2207,5,9
1393,5,5
1509,5,5
271,5,7
104,5,5
1615,6,6
2472,6,7
1438,6,7
2562,6,6
1750,6,8
2396,6,10
2020,6,13
2523,6,12
1238,6,8
1863,6,6
1781,6,12
1802,6,7
295,6,13
532,6,12
2565,6,8
962,6,7
1526,6,8
519,6,7
2778,6,7
284,6,7
2220,6,9
548,6,6
1230,6,6
1118,6,6
2410,6,6
1229,6,14
2671,6,12
2709,6,12
1433,6,8
1391,6,12
2802,6,7
2431,6,10
2185,6,6
719,6,8
2554,6,10
1727,6,13
875,6,7
880,6,8
1251,6,7
2315,6,8
2753,6,8
2476,6,10
756,6,13
644,6,6
1783,6,7
463,6,13
2794,6,10
